Gender,Country,Occupation,self_employed,family_history,treatment,Days_Indoors,Growing_Stress,Changes_Habits,Mental_Health_History,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Australia,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Netherlands,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Australia,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,India,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Canada,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,Yes,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,No,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,No,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,Canada,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United States,Others,No,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
Female,United Kingdom,Others,Yes,Yes,Yes,More than 2 months,Maybe,Yes,Maybe,Low,Yes,Yes,Maybe
